Source,Target,Weight,Type
alciphron_gb,fables_holy_gb,1,undirected
alciphron_gb,lalla_gb,2,undirected
alciphron_gb,loves_angels_gb,5,undirected
anacreon_gb,epistles_gb,3,undirected
anacreon_gb,lalla_gb,2,undirected
anacreon_gb,little_gb,3,undirected
cash_corn_gb,fables_holy_gb,1,undirected
cash_corn_gb,fudges_england_gb,4,undirected
cash_corn_gb,fudges_paris_gb,6,undirected
cash_corn_gb,intercepted_gb,3,undirected
cash_corn_gb,tom_crib_gb,3,undirected
corruption_gb,epistles_gb,1,undirected
corruption_gb,fables_holy_gb,3,undirected
corruption_gb,tom_crib_gb,2,undirected
epistles_gb,anacreon_gb,3,undirected
epistles_gb,corruption_gb,1,undirected
epistles_gb,fables_holy_gb,3,undirected
epistles_gb,lalla_gb,5,undirected
epistles_gb,little_gb,5,undirected
epistles_gb,melodies_gb,2,undirected
epistles_gb,national_gb,2,undirected
epistles_gb,sacred_gb,1,undirected
evenings_gb,fables_holy_gb,1,undirected
evenings_gb,lalla_gb,3,undirected
evenings_gb,national_gb,1,undirected
evenings_gb,summerfete_gb,5,undirected
fables_holy_gb,alciphron_gb,1,undirected
fables_holy_gb,cash_corn_gb,1,undirected
fables_holy_gb,corruption_gb,3,undirected
fables_holy_gb,epistles_gb,3,undirected
fables_holy_gb,evenings_gb,1,undirected
fables_holy_gb,lalla_gb,6,undirected
fables_holy_gb,loves_angels_gb,1,undirected
fables_holy_gb,melodies_gb,1,undirected
fables_holy_gb,sceptic_gb,2,undirected
fables_holy_gb,summerfete_gb,2,undirected
fables_holy_gb,tom_crib_gb,1,undirected
fudges_england_gb,cash_corn_gb,4,undirected
fudges_england_gb,fudges_paris_gb,5,undirected
fudges_england_gb,intercepted_gb,2,undirected
fudges_paris_gb,cash_corn_gb,6,undirected
fudges_paris_gb,fudges_england_gb,5,undirected
fudges_paris_gb,intercepted_gb,4,undirected
intercepted_gb,cash_corn_gb,3,undirected
intercepted_gb,fudges_england_gb,2,undirected
intercepted_gb,fudges_paris_gb,4,undirected
intercepted_gb,sceptic_gb,1,undirected
intercepted_gb,tom_crib_gb,2,undirected
lalla_gb,alciphron_gb,2,undirected
lalla_gb,anacreon_gb,2,undirected
lalla_gb,epistles_gb,5,undirected
lalla_gb,evenings_gb,3,undirected
lalla_gb,fables_holy_gb,6,undirected
lalla_gb,loves_angels_gb,3,undirected
lalla_gb,melodies_gb,4,undirected
lalla_gb,sacred_gb,2,undirected
lalla_gb,summerfete_gb,1,undirected
little_gb,anacreon_gb,3,undirected
little_gb,epistles_gb,5,undirected
little_gb,melodies_gb,1,undirected
loves_angels_gb,alciphron_gb,5,undirected
loves_angels_gb,fables_holy_gb,1,undirected
loves_angels_gb,lalla_gb,3,undirected
melodies_gb,epistles_gb,2,undirected
melodies_gb,fables_holy_gb,1,undirected
melodies_gb,lalla_gb,4,undirected
melodies_gb,little_gb,1,undirected
melodies_gb,national_gb,3,undirected
melodies_gb,sacred_gb,3,undirected
national_gb,epistles_gb,2,undirected
national_gb,evenings_gb,1,undirected
national_gb,melodies_gb,3,undirected
sacred_gb,epistles_gb,1,undirected
sacred_gb,lalla_gb,2,undirected
sacred_gb,melodies_gb,3,undirected
sceptic_gb,fables_holy_gb,2,undirected
sceptic_gb,intercepted_gb,1,undirected
sceptic_gb,tom_crib_gb,3,undirected
summerfete_gb,evenings_gb,5,undirected
summerfete_gb,fables_holy_gb,2,undirected
summerfete_gb,lalla_gb,1,undirected
tom_crib_gb,cash_corn_gb,3,undirected
tom_crib_gb,corruption_gb,2,undirected
tom_crib_gb,fables_holy_gb,1,undirected
tom_crib_gb,intercepted_gb,2,undirected
tom_crib_gb,sceptic_gb,3,undirected
